temperature_C,n_total,mean_overall,std_overall,p50_overall,mean_thermophilic,mean_mesophilic,delta_thermo_minus_meso,spearman_rho_vs_seq_length
40,20248885,0.5816635417783431,0.18679121110137747,0.6029000282287598,0.7020151958792107,0.39607419580347974,0.30594100007573094,0.06066609549875576
45,20248885,0.5558895642063152,0.1884828715767418,0.5770000219345093,0.6795884549452298,0.365138581998703,0.31444987294652677,0.061262461792425484
50,20248885,0.5026222150701264,0.185923017878989,0.5117999911308289,0.612193155642736,0.33365736493455295,0.2785357907081831,0.08657148278329672
55,20248885,0.49674295512615874,0.17757762712146474,0.5084999799728394,0.5943427168196105,0.34623836858504003,0.24810434823457045,0.09636939192530718
60,20248885,0.3569512218854883,0.1882395506056623,0.3490000069141388,0.44873116189850676,0.21542114348411115,0.2333100184143956,0.1122156429490935
65,20248885,0.3562891934734937,0.20633125909594394,0.3352000117301941,0.4424165271567645,0.22347576728292468,0.21894075987383982,0.09538105444676306
score_col,20248885,,,,,,,0.9999999835005596
