allele,family,n,n_sb,n_wb,sb_pct,mean_rank,median_rank,mean_score
HLA-DQA10201-DQB10303,HLA-DQ,275517,6312,269205,2.2910,6.1331,6.4500,0.318275
HLA-DQA10301-DQB10201,HLA-DQ,178506,4246,174260,2.3786,6.2413,6.6500,0.035619
HLA-DQA10301-DQB10301,HLA-DQ,658608,40782,617826,6.1922,5.4930,5.6800,0.212507
HLA-DQA10301-DQB10302,HLA-DQ,316987,13158,303829,4.1510,5.8665,6.0800,0.147795
HLA-DQA10302-DQB10301,HLA-DQ,658608,40782,617826,6.1922,5.4930,5.6800,0.212507
HLA-DQA10303-DQB10301,HLA-DQ,658608,40782,617826,6.1922,5.4930,5.6800,0.212507
HLA-DQA10401-DQB10402,HLA-DQ,333532,13421,320111,4.0239,5.8008,6.0300,0.355606
HLA-DQA10501-DQB10201,HLA-DQ,201702,3440,198262,1.7055,6.4653,6.8900,0.174889
HLA-DQA10501-DQB10301,HLA-DQ,544296,15916,528380,2.9241,5.8176,6.0100,0.231609
HLA-DQA10601-DQB10301,HLA-DQ,259857,5072,254785,1.9518,6.2100,6.4800,0.066269
