peptide_id,source,length,score,label,avg_ep,max_ep,max_lin_ep
649078,legacy_uniprot_all_2021,27,0.23988329,Epitope,0.2399,0.3313,0.2645
649079,legacy_uniprot_all_2021,30,0.19616577,Epitope,0.1962,0.2997,0.2425
649080,legacy_uniprot_all_2021,30,0.25570992,Epitope,0.2557,0.3463,0.2804
649081,legacy_uniprot_all_2021,29,0.2728607,Epitope,0.2729,0.3573,0.3158
649083,legacy_uniprot_all_2021,30,0.24205977,Epitope,0.2421,0.3443,0.2649
649084,legacy_uniprot_all_2021,29,0.2838711,Epitope,0.2839,0.3545,0.2997
649085,legacy_uniprot_all_2021,22,0.18870193,Epitope,0.1887,0.3314,0.2339
649087,legacy_uniprot_all_2021,29,0.24360567,Epitope,0.2436,0.337,0.2673
649089,legacy_uniprot_all_2021,26,0.28593963,Epitope,0.2859,0.3639,0.3198
649090,legacy_uniprot_all_2021,26,0.23379037,Epitope,0.2338,0.3114,0.2617
649776,legacy_uniprot_all_2021,22,0.2691893,Epitope,0.2692,0.3608,0.3117
649777,legacy_uniprot_all_2021,21,0.2759117,Epitope,0.2759,0.3379,0.3142
649778,legacy_uniprot_all_2021,16,0.2547698,Epitope,0.2548,0.3156,0.2832
649780,legacy_uniprot_all_2021,25,0.20284094,Epitope,0.2028,0.3199,0.2569
649781,legacy_uniprot_all_2021,21,0.21854594,Epitope,0.2185,0.3287,0.2554
649782,legacy_uniprot_all_2021,24,0.26437873,Epitope,0.2644,0.3532,0.308
649783,legacy_uniprot_all_2021,26,0.16812542,Epitope,0.1681,0.2932,0.2746
649784,legacy_uniprot_all_2021,26,0.28370756,Epitope,0.2837,0.3532,0.3114
649786,legacy_uniprot_all_2021,17,0.25929415,Epitope,0.2593,0.3373,0.2923
649788,legacy_uniprot_all_2021,20,0.24573,Epitope,0.2457,0.327,0.2853
649789,legacy_uniprot_all_2021,19,0.26377735,Epitope,0.2638,0.328,0.2974
649790,legacy_uniprot_all_2021,22,0.26871175,Epitope,0.2687,0.3596,0.3124
649791,legacy_uniprot_all_2021,28,0.24179605,Epitope,0.2418,0.3141,0.2815
649794,legacy_uniprot_all_2021,29,0.22900487,Epitope,0.229,0.3458,0.2867
649795,legacy_uniprot_all_2021,21,0.24110468,Epitope,0.2411,0.3207,0.2716
649797,legacy_uniprot_all_2021,22,0.18970917,Epitope,0.1897,0.2689,0.2246
649799,legacy_uniprot_all_2021,12,0.281667,Epitope,0.2817,0.3374,0.3193
649963,legacy_uniprot_all_2021,20,0.24400684,Epitope,0.244,0.3478,0.2897
649965,legacy_uniprot_all_2021,10,0.26175958,Epitope,0.2618,0.3125,0.2788
649966,legacy_uniprot_all_2021,27,0.18502995,Epitope,0.185,0.2865,0.2358
649967,legacy_uniprot_all_2021,30,0.23284307,Epitope,0.2328,0.3312,0.2668
649968,legacy_uniprot_all_2021,29,0.25235173,Epitope,0.2524,0.3325,0.2863
649969,legacy_uniprot_all_2021,26,0.18487364,Epitope,0.1849,0.303,0.2128
649972,legacy_uniprot_all_2021,20,0.2492547,Epitope,0.2493,0.3454,0.2652
649974,legacy_uniprot_all_2021,29,0.21699777,Epitope,0.217,0.3055,0.2537
649975,legacy_uniprot_all_2021,20,0.26128584,Epitope,0.2613,0.3481,0.2917
649976,legacy_uniprot_all_2021,24,0.2560819,Epitope,0.2561,0.3451,0.2911
649978,legacy_uniprot_all_2021,21,0.19839771,Epitope,0.1984,0.2857,0.2336
649981,legacy_uniprot_all_2021,25,0.23284073,Epitope,0.2328,0.3133,0.2723
649982,legacy_uniprot_all_2021,29,0.19380589,Epitope,0.1938,0.3008,0.2548
649987,legacy_uniprot_all_2021,27,0.25608468,Epitope,0.2561,0.3459,0.2939
650215,legacy_uniprot_all_2021,23,0.19644913,Epitope,0.1964,0.3152,0.2371
650216,legacy_uniprot_all_2021,29,0.19989406,Epitope,0.1999,0.3133,0.2446
650217,legacy_uniprot_all_2021,10,0.29275206,Epitope,0.2928,0.3434,0.3081
650220,legacy_uniprot_all_2021,15,0.26459664,Epitope,0.2646,0.3337,0.3026
650221,legacy_uniprot_all_2021,22,0.21113415,Epitope,0.2111,0.327,0.2304
650223,legacy_uniprot_all_2021,22,0.31280613,Epitope,0.3128,0.3724,0.3428
650224,legacy_uniprot_all_2021,27,0.2578699,Epitope,0.2579,0.3248,0.283
650226,legacy_uniprot_all_2021,29,0.2229318,Epitope,0.2229,0.3239,0.2649
650227,legacy_uniprot_all_2021,29,0.3057299,Epitope,0.3057,0.3617,0.3284
650228,legacy_uniprot_all_2021,27,0.24308804,Epitope,0.2431,0.3545,0.2921
650229,legacy_uniprot_all_2021,26,0.22385694,Epitope,0.2239,0.2905,0.2454
650231,legacy_uniprot_all_2021,22,0.2774393,Epitope,0.2774,0.3489,0.3048
650234,legacy_uniprot_all_2021,21,0.20914814,Epitope,0.2091,0.286,0.2336
650236,legacy_uniprot_all_2021,23,0.23230441,Epitope,0.2323,0.3271,0.2532
650237,legacy_uniprot_all_2021,26,0.21322568,Epitope,0.2132,0.2811,0.2472
650238,legacy_uniprot_all_2021,28,0.21541736,Epitope,0.2154,0.344,0.2626
650239,legacy_uniprot_all_2021,22,0.21072474,Epitope,0.2107,0.3593,0.3051
650891,legacy_uniprot_all_2021,25,0.2317331,Epitope,0.2317,0.3181,0.2788
650892,legacy_uniprot_all_2021,20,0.24419188,Epitope,0.2442,0.3286,0.2715
650893,legacy_uniprot_all_2021,22,0.16932875,Epitope,0.1693,0.2684,0.2058
650894,legacy_uniprot_all_2021,29,0.20515949,Epitope,0.2052,0.3289,0.243
650895,legacy_uniprot_all_2021,29,0.21496512,Epitope,0.215,0.3256,0.2422
650896,legacy_uniprot_all_2021,25,0.23234388,Epitope,0.2323,0.2788,0.2675
650897,legacy_uniprot_all_2021,23,0.25763983,Epitope,0.2576,0.3477,0.3079
650899,legacy_uniprot_all_2021,30,0.25246465,Epitope,0.2525,0.3273,0.2755
650900,legacy_uniprot_all_2021,23,0.23437294,Epitope,0.2344,0.3374,0.2777
650901,legacy_uniprot_all_2021,27,0.20549834,Epitope,0.2055,0.2832,0.2504
650902,legacy_uniprot_all_2021,12,0.2666024,Epitope,0.2666,0.3296,0.2841
650903,legacy_uniprot_all_2021,23,0.2605434,Epitope,0.2605,0.3484,0.3071
650904,legacy_uniprot_all_2021,27,0.28726548,Epitope,0.2873,0.3525,0.3386
650906,legacy_uniprot_all_2021,25,0.24914168,Epitope,0.2491,0.3426,0.2856
650908,legacy_uniprot_all_2021,22,0.26223248,Epitope,0.2622,0.3481,0.3198
650909,legacy_uniprot_all_2021,25,0.27615583,Epitope,0.2762,0.3472,0.3029
650910,legacy_uniprot_all_2021,29,0.24514073,Epitope,0.2451,0.3151,0.2847
