tool,total_rows,sampled,n,mean,median,std,p1,p99,min,max
algpred2,20248885,500000,500000,0.2720087468624115,0.2680000066757202,0.08310677111148834,0.10100000351667404,0.492000013589859,0.02500000037252903,0.8600000143051147
anoxpepred,20248885,500000,500000,0.29668736457824707,0.2930000126361847,0.05271843075752258,0.188400000333786,0.43299999833106995,0.09690000116825104,0.6360999941825867
hemopi2,20248885,500000,500000,0.4847799241542816,0.5183826684951782,0.1816331297159195,0.18637801125645637,0.7524818521738053,0.16926203668117523,0.779249370098114
mhcflurry,134888,134888,134888,0.007321282289922237,0.0,0.058309316635131836,0.0,0.21722400188446045,0.0,0.9006839990615845
plm4cpps,20248885,500000,500000,0.021886808797717094,0.00033955826074816287,0.10209585726261139,6.21378823240093e-08,0.6302792036533372,1.6194542180793942e-13,1.0
sodope,20248885,500000,500000,0.500639021396637,0.5096499919891357,0.3285614550113678,0.0032353510963730515,0.996622873544693,1.1753200634956329e-09,0.9999998807907104
temstapro,20248885,500000,500000,0.47509944438934326,0.48089998960494995,0.17153549194335938,0.10949899837374685,0.8453010183572779,9.999999747378752e-05,0.9998000264167786
tipred,20248885,500000,500000,0.9180357456207275,0.9274396896362305,0.061368171125650406,0.5743031066656112,0.9502797245979309,0.06930413097143173,0.968361496925354
toxinpred3,4880000,500000,500000,0.24398037791252136,0.2150000035762787,0.12565167248249054,0.06499999761581421,0.6449999809265137,0.0,1.0
