label,n,mean,std,p10,p50,p90,min,max
Insoluble,9956436,0.204361,0.151474,0.019248,0.18065,0.433017,0.0,0.5
Soluble,10292449,0.78923,0.147634,0.568247,0.808958,0.974339,0.5,1.0
